Year,NYCHA Development,Applied for the program,Were accepted and enrolled,Average wage of residents,Enrolled in financial counseling services through the program,Enrolled in college-readiness courses or participated in college-readiness activities through the program
2018,1010 East 178th Street,27,7,$13,7,7
2018,104-14 Tapscott Street,5,2,$13,2,2
2018,1162-1176 Washington Avenue,7,1,$13,1,1
2018,1471 Watson Avenue,9,6,$13,6,6
2018,154 West 84th Street,3,1,$13,1,1
2018,303 Vernon Avenue,35,16,$13,16,16
2018,335 East 111th Street,6,0,$13,0,0
2018,344 East 28th Street,23,8,$13,8,8
2018,45 Allen Street,16,8,$13,8,8
2018,572 Warren Street,15,7,$13,7,7
2018,830 Amsterdam Avenue,21,7,$13,7,7
2018,Adams,119,48,$13,48,48
2018,Albany,120,50,$13,50,50
2018,Albany II,67,29,$13,29,29
2018,Amsterdam,82,27,$13,27,27
2018,Amsterdam Addition,9,4,$13,4,4
2018,Armstrong I,77,34,$13,34,34
2018,Armstrong II,46,19,$13,19,19
2018,Astoria,210,108,$13,108,108
2018,Atlantic Terminal Site 4B,31,10,$13,10,10
2018,Audubon,17,9,$13,9,9
2018,Bailey Avenue-West 193Rd Street,15,3,$13,3,3
2018,Baisley Park,49,18,$13,18,18
2018,Baruch,201,67,$13,67,67
2018,Bay View,229,101,$13,101,101
2018,Baychester,63,21,$13,21,21
2018,Beach 41St Street-Beach Channel Drive,85,56,$13,56,56
2018,Bedford-Stuyvesant Rehab,10,4,$13,4,4
2018,Belmont-Sutter Area,13,6,$13,6,6
2018,Berry,50,36,$13,36,36
2018,Berry Street-South 9th Street,15,5,$13,5,5
2018,Betances I,27,11,$13,11,11
2018,"Betances II, 13",4,0,$13,0,0
2018,"Betances II, 18",27,10,$13,10,10
2018,"Betances II, 9A",5,4,$13,4,4
2018,"Betances III, 13",7,4,$13,4,4
2018,"Betances III, 18",4,2,$13,2,2
2018,"Betances III, 9A",3,2,$13,2,2
2018,Betances IV,52,19,$13,19,19
2018,Betances V,18,6,$13,6,6
2018,Betances VI,21,4,$13,4,4
2018,Bethune Gardens,1,1,$13,1,1
2018,Bland,36,13,$13,13,13
2018,Borinquen Plaza I,53,16,$13,16,16
2018,Borinquen Plaza II,50,22,$13,22,22
2018,Boston Secor,100,42,$13,42,42
2018,Boulevard,177,134,$13,134,134
2018,Boynton Avenue Rehab,7,1,$13,1,1
2018,Bracetti Plaza,5,2,$13,2,2
2018,Breukelen,283,142,$13,142,142
2018,Brevoort,150,58,$13,58,58
2018,Bronx River,193,90,$13,90,90
2018,Bronx River Addition,2,0,$13,0,0
2018,Brownsville,227,157,$13,157,157
2018,Bryant Avenue-East 174th Street,10,5,$13,5,5
2018,Bushwick,291,197,$13,197,197
2018,Butler,353,233,$13,233,233
2018,Campos Plaza II,17,4,$13,4,4
2018,Carey Gardens,82,38,$13,38,38
2018,Carleton Manor,17,8,$13,8,8
2018,Carver,114,44,$13,44,44
2018,Cassidy-Lafayette,1,0,$13,0,0
2018,"Castle Hill I, II",445,345,$13,345,345
2018,Chelsea,43,14,$13,14,14
2018,Claremont Parkway-Franklin Avenue,12,5,$13,5,5
2018,Claremont Rehab (Group 2),11,5,$13,5,5
2018,Claremont Rehab (Group 3),12,4,$13,4,4
2018,Claremont Rehab (Group 4),21,7,$13,7,7
2018,Claremont Rehab (Group 5),13,5,$13,5,5
2018,Clason Point Gardens,41,14,$13,14,14
2018,Clinton,96,45,$13,45,45
2018,Coney Island,53,20,$13,20,20
2018,Coney Island I (Site 1B),21,14,$13,14,14
2018,Coney Island I (Site 8),23,4,$13,4,4
2018,Coney Island I (Sites 4 & 5),75,34,$13,34,34
2018,Cooper Park,74,32,$13,32,32
2018,Corsi Houses,1,0,$13,0,0
2018,Crown Heights,10,5,$13,5,5
2018,Cypress Hills,181,80,$13,80,80
2018,Davidson,29,17,$13,17,17
2018,De Hostos Apartments,14,7,$13,7,7
2018,Douglass Addition,19,7,$13,7,7
2018,Douglass I,109,47,$13,47,47
2018,Douglass II,59,19,$13,19,19
2018,Drew-Hamilton,171,80,$13,80,80
2018,Dyckman,120,66,$13,66,66
2018,Eagle Avenue-East 163Rd Street,6,1,$13,1,1
2018,East 152Nd Street-Courtlandt Avenue,17,5,$13,5,5
2018,East 165th Street-Bryant Avenue,25,11,$13,11,11
2018,East 173Rd Street-Vyse Avenue,28,13,$13,13,13
2018,East 180th Street-Monterey Avenue,41,16,$13,16,16
2018,East New York City Line,13,4,$13,4,4
2018,East River,117,49,$13,49,49
2018,Eastchester Gardens,132,53,$13,53,53
2018,Edenwald,293,115,$13,115,115
2018,Elliott,49,18,$13,18,18
2018,Farragut,175,61,$13,61,61
2018,Fenimore-Lefferts,14,6,$13,6,6
2018,Fha Repossessed Houses (Group I),6,0,$13,0,0
2018,Fha Repossessed Houses (Group II),7,2,$13,2,2
2018,Fha Repossessed Houses (Group III),6,1,$13,1,1
2018,Fha Repossessed Houses (Group Iv),2,1,$13,1,1
2018,Fha Repossessed Houses (Group IX),1,0,$13,0,0
2018,Fha Repossessed Houses (Group V),13,4,$13,4,4
2018,Fha Repossessed Houses (Group Vi),4,0,$13,0,0
2018,Fha Repossessed Houses (Group VII),1,0,$13,0,0
2018,Fha Repossessed Houses (Group VIII),6,0,$13,0,0
2018,Fha Repossessed Houses (Group X),5,0,$13,0,0
2018,Fiorentino Plaza,33,13,$13,13,13
2018,First Houses,3,1,$13,1,1
2018,Forest,171,73,$13,73,73
2018,Forest Hills Coop (108th Street-62nd Drive),14,4,$13,4,4
2018,Fort Independence Street-Heath Avenue,50,15,$13,15,15
2018,Franklin Avenue I Conventional,7,3,$13,3,3
2018,Franklin Avenue II Conventional,4,3,$13,3,3
2018,Franklin Avenue III Conventional,3,1,$13,1,1
2018,Fulton,79,26,$13,26,26
2018,Garvey (Group A),66,29,$13,29,29
2018,Glebe Avenue-Westchester Avenue,5,0,$13,0,0
2018,Glenmore Plaza,37,21,$13,21,21
2018,Glenwood,140,63,$13,63,63
2018,Gompers,53,25,$13,25,25
2018,Gowanus,140,57,$13,57,57
2018,Grant,216,83,$13,83,83
2018,Gravesend,85,37,$13,37,37
2018,Gun Hill,83,31,$13,31,31
2018,Haber,1,0,$13,0,0
2018,Hammel,100,49,$13,49,49
2018,Harborview Terrace,14,8,$13,8,8
2018,Harlem River,49,19,$13,19,19
2018,Harlem River II,21,10,$13,10,10
2018,Harrison Avenue Rehab (Group A),1,0,$13,0,0
2018,Harrison Avenue Rehab (Group B),5,2,$13,2,2
2018,Hernandez,9,5,$13,5,5
2018,Highbridge Gardens,119,63,$13,63,63
2018,Highbridge Rehabs (Anderson Avenue),32,8,$13,8,8
2018,Highbridge Rehabs (Nelson Avenue),11,4,$13,4,4
2018,Hoe Avenue-East 173Rd Street,12,4,$13,4,4
2018,Holmes Towers,31,11,$13,11,11
2018,Hope Gardens,29,13,$13,13,13
2018,Howard,113,53,$13,53,53
2018,Howard Avenue,26,12,$13,12,12
2018,Howard Avenue-Park Place,37,17,$13,17,17
2018,Hughes Apartments,118,54,$13,54,54
2018,Hunts Point Avenue Rehab,20,10,$13,10,10
2018,Hylan,22,9,$13,9,9
2018,Independence,63,21,$13,21,21
2018,Ingersoll,242,177,$13,177,177
2018,Isaacs,40,23,$13,23,23
2018,Jackson,146,52,$13,52,52
2018,Jefferson,175,72,$13,72,72
2018,Johnson,179,80,$13,80,80
2018,King Towers,163,60,$13,60,60
2018,Kingsborough,136,61,$13,61,61
2018,La Guardia,94,46,$13,46,46
2018,La Guardia Addition,1,0,$13,0,0
2018,Lafayette,156,54,$13,54,54
2018,Latimer Gardens,19,11,$13,11,11
2018,Lavanburg Homes,4,3,$13,3,3
2018,Leavitt Street-34th Avenue,2,0,$13,0,0
2018,Lehman Village,86,37,$13,37,37
2018,Lenox Road-Rockaway Parkway,15,9,$13,9,9
2018,Lexington,21,9,$13,9,9
2018,Lincoln,173,61,$13,61,61
2018,Linden,247,121,$13,121,121
2018,Long Island Baptist Houses,30,13,$13,13,13
2018,Longfellow Avenue Rehab,19,11,$13,11,11
2018,Low Houses,82,38,$13,38,38
2018,Lower East Side I Infill,4,3,$13,3,3
2018,Lower East Side II,7,3,$13,3,3
2018,Lower East Side III,12,6,$13,6,6
2018,Lower East Side Rehab (Group 5),5,4,$13,4,4
2018,Manhattanville,168,67,$13,67,67
2018,Manhattanville Rehab (Group 2),4,1,$13,1,1
2018,Manhattanville Rehab (Group 3),7,3,$13,3,3
2018,Marble Hill,148,55,$13,55,55
2018,Marcy,194,81,$13,81,81
2018,Marcy Avenue-Greene Avenue Site A,12,4,$13,4,4
2018,Marcy Avenue-Greene Avenue Site B,3,2,$13,2,2
2018,Mariner's Harbor,134,65,$13,65,65
2018,Marlboro,209,75,$13,75,75
2018,McKinley,84,29,$13,29,29
2018,Melrose,161,61,$13,61,61
2018,Metro North Plaza,37,12,$13,12,12
2018,Middletown Plaza,2,1,$13,1,1
2018,Mill Brook,151,58,$13,58,58
2018,Mill Brook Extension,17,5,$13,5,5
2018,Mitchel,230,97,$13,97,97
2018,Monroe,163,71,$13,71,71
2018,Moore,61,21,$13,21,21
2018,Morris I,190,69,$13,69,69
2018,Morris II,114,51,$13,51,51
2018,Morrisania,41,18,$13,18,18
2018,Morrisania Air Rights,101,45,$13,45,45
2018,Mott Haven,161,59,$13,59,59
2018,Murphy,44,20,$13,20,20
2018,Nostrand,122,58,$13,58,58
2018,Ocean Bay Apartments (Bayside),223,122,$13,122,122
2018,Ocean Bay Apartments (Oceanside),26,20,$13,20,20
2018,Ocean Hill Apartments,38,19,$13,19,19
2018,Ocean Hill-Brownsville,22,14,$13,14,14
2018,O'Dwyer Gardens,29,13,$13,13,13
2018,Palmetto Gardens,1,1,$13,1,1
2018,"Park Avenue-East 122Nd, 123Rd Streets",23,9,$13,9,9
2018,Park Rock Rehab,16,7,$13,7,7
2018,Parkside,80,34,$13,34,34
2018,Patterson,279,184,$13,184,184
2018,Pelham Parkway,96,47,$13,47,47
2018,Pennsylvania Avenue-Wortman Avenue,30,18,$13,18,18
2018,Pink,243,100,$13,100,100
2018,Polo Grounds,256,170,$13,170,170
2018,Pomonok,163,58,$13,58,58
2018,Pss Grandparent Family Apartments,10,5,$13,5,5
2018,Public School 139 (Conversion),1,0,$13,0,0
2018,"Queensbridge I, II",334,228,$13,228,228
2018,Ralph Avenue Rehab,11,4,$13,4,4
2019,Gowanus,90,45,$15,45,45
2018,Randall Avenue-Balcom Avenue,2,0,$13,0,0
2018,Randolph,1,0,$13,0,0
2018,Rangel,112,42,$13,42,42
2018,Ravenswood,170,97,$13,97,97
2018,"Red Hook E, W",398,278,$13,278,278
2018,Redfern,113,64,$13,64,64
2018,Rehab Program (College Point),1,0,$13,0,0
2018,Rehab Program (Douglass Rehabs),6,1,$13,1,1
2018,Rehab Program (Taft Rehabs),22,6,$13,6,6
2018,Rehab Program (Wise Rehab),1,1,$13,1,1
2018,Reid Apartments,2,1,$13,1,1
2018,Richmond Terrace,117,65,$13,65,65
2018,Riis,120,34,$13,34,34
2018,Riis II,57,23,$13,23,23
2018,Robinson,22,5,$13,5,5
2018,Roosevelt I,100,36,$13,36,36
2018,Roosevelt II,33,12,$13,12,12
2018,Rutgers,60,19,$13,19,19
2018,Rutland Towers,4,1,$13,1,1
2018,Sack Wern,44,23,$13,23,23
2018,Saint Mary's Park,147,62,$13,62,62
2018,Samuel (City),80,29,$13,29,29
2018,Samuel (Mhop) I,2,0,$13,0,0
2018,Saratoga Village,12,7,$13,7,7
2018,Sedgwick,81,42,$13,42,42
2018,Seward Park Extension,35,10,$13,10,10
2018,Sheepshead Bay,134,49,$13,49,49
2018,Shelton House,2,0,$13,0,0
2018,Smith,163,63,$13,63,63
2018,Sotomayor Houses,191,76,$13,76,76
2018,Soundview,136,62,$13,62,62
2018,South Beach,60,37,$13,37,37
2018,South Bronx Area (Site 402),19,6,$13,6,6
2018,South Jamaica I,29,10,$13,10,10
2018,South Jamaica II,82,27,$13,27,27
2018,St. Nicholas,240,153,$13,153,153
2018,Stapleton,210,125,$13,125,125
2018,Stebbins Avenue-Hewitt Place,16,6,$13,6,6
2018,Sterling Place Rehabs (Saint Johns-Sterling),32,18,$13,18,18
2018,Sterling Place Rehabs (Sterling-Buffalo),28,18,$13,18,18
2018,Straus,25,7,$13,7,7
2018,Stuyvesant Gardens I,55,28,$13,28,28
2018,Stuyvesant Gardens II,1,0,$13,0,0
2018,Sumner,124,60,$13,60,60
2018,Surfside Gardens,49,17,$13,17,17
2018,Sutter Avenue-Union Street,16,7,$13,7,7
2018,Taft,132,44,$13,44,44
2018,Tapscott Street Rehab,28,12,$13,12,12
2018,Taylor Street-Wythe Avenue,33,17,$13,17,17
2018,Teller Avenue-East 166th Street,8,5,$13,5,5
2018,Throggs Neck,118,48,$13,48,48
2018,Throggs Neck Addition,44,13,$13,13,13
2018,Tilden,193,92,$13,92,92
2018,Todt Hill,53,28,$13,28,28
2018,Tompkins,221,163,$13,163,163
2018,Twin Parks East (Site 9),1,1,$13,1,1
2018,Twin Parks West (Sites 1 & 2),74,25,$13,25,25
2018,Two Bridges Ura (Site 7),24,14,$13,14,14
2018,Union Avenue-East 163Rd Street,5,0,$13,0,0
2018,Union Avenue-East 166th Street,21,9,$13,9,9
2018,"Unity Plaza (Sites 17,24,25A)",39,16,$13,16,16
2018,Unity Plaza (Sites 4-27),69,35,$13,35,35
2018,University Avenue Rehab,21,6,$13,6,6
2018,Upaca (Site 5),2,0,$13,0,0
2018,Upaca (Site 6),1,0,$13,0,0
2018,"Van Dyke I, II",304,213,$13,213,213
2018,Vandalia Avenue,7,2,$13,2,2
2018,Vladeck,104,28,$13,28,28
2018,Vladeck II,23,8,$13,8,8
2018,Wagner,328,248,$13,248,248
2018,Wald,150,61,$13,61,61
2018,Washington,184,80,$13,80,80
2018,Washington Heights Rehab (Groups 1&2),11,4,$13,4,4
2018,Washington Heights Rehab Phase III,6,3,$13,3,3
2018,Washington Heights Rehab Phase Iv (D),1,0,$13,0,0
2018,Webster,94,40,$13,40,40
2018,Weeksville Gardens,54,22,$13,22,22
2018,West Brighton I,125,78,$13,78,78
2018,West Farms Road Rehab,17,10,$13,10,10
2018,West Farms Square Conventional,6,2,$13,2,2
2018,West Tremont Avenue-Sedgwick Avenue Area,6,1,$13,1,1
2018,Whitman,174,65,$13,65,65
2018,Williams Plaza,37,19,$13,19,19
2018,Williamsburg,93,36,$13,36,36
2018,Wilson,94,39,$13,39,39
2018,Wise Towers,35,16,$13,16,16
2018,Woodside,111,52,$13,52,52
2018,Woodson,1,0,$13,0,0
2018,Wsur (Brownstones),6,2,$13,2,2
2018,Wsur (Site A) 120 West 94th Street,1,0,$13,0,0
2018,Wsur (Site B) 74 West 92Nd Street,9,3,$13,3,3
2018,Wsur (Site C) 589 Amsterdam Avenue,9,3,$13,3,3
2018,Wyckoff Gardens,50,24,$13,24,24
2019,1010 East 178th Street,20,10,$15,10,10
2019,104-14 Tapscott Street,2,1,$15,1,1
2019,1162-1176 Washington Avenue,5,3,$15,3,3
2019,1471 Watson Avenue,5,3,$15,3,3
2019,154 West 84th Street,1,1,$15,1,1
2019,303 Vernon Avenue,28,11,$15,11,11
2019,335 East 111th Street,6,NA,$15,NA,NA
2019,344 East 28th Street,17,7,$15,7,7
2019,45 Allen Street,12,1,$15,1,1
2019,572 Warren Street,15,8,$15,8,8
2019,830 Amsterdam Avenue,17,8,$15,8,8
2019,Adams,101,42,$15,42,42
2019,Albany,93,50,$15,50,50
2019,Albany II,59,30,$15,30,30
2019,Amsterdam,57,19,$15,19,19
2019,Amsterdam Addition,7,2,$15,2,2
2019,Armstrong I,60,33,$15,33,33
2019,Armstrong II,45,20,$15,20,20
2019,Astoria,197,113,$15,113,113
2019,Atlantic Terminal Site 4B,26,14,$15,14,14
2019,Audubon,18,9,$15,9,9
2019,Bailey Avenue-West 193Rd Street,20,7,$15,7,7
2019,Baisley Park,50,22,$15,22,22
2019,Baruch,201,155,$15,155,155
2019,Bay View,198,120,$15,120,120
2019,Baychester,34,19,$15,19,19
2019,Beach 41St Street-Beach Channel Drive,77,56,$15,56,56
2019,Bedford-Stuyvesant Rehab,8,5,$15,5,5
2019,Belmont-Sutter Area,7,5,$15,5,5
2019,Berry,54,23,$15,23,23
2019,Berry Street-South 9th Street,21,9,$15,9,9
2019,Betances I,19,12,$15,12,12
2019,"Betances II, 13",2,1,$15,1,1
2019,"Betances II, 18",12,6,$15,6,6
2019,"Betances II, 9A",3,3,$15,3,3
2019,"Betances III, 13",3,1,$15,1,1
2019,"Betances III, 18",5,1,$15,1,1
2019,"Betances III, 9A",4,NA,$15,NA,NA
