Year,City Council District,Borough,Total number of resident job placements,Average wage of such residents,Total number of resident connections to services,Total number of residents that applied for the NYCHA Resident Training Academy,Total number of residents that were accepted and enrolled,Total number residents placed into full-time or part-time jobs,Average Wage of such residents,Number of residents that enrolled in financial counseling services/workshops through the REES Zone Partner program,Total number of residents enrolled in vocational training programs through the program,Total number of residents enrolled in prep courses for English as a Second Language (ESOL) or the Test Assessing Secondary Completion (TASC) through the program
2018,1,Manhattan,26,23.82526316,96,11,5,5,14.25,7,6,5
2018,2,Manhattan,25,24.45,199,48,9,9,14.25,16,10,<5
2018,3,Manhattan,<5,15.75,54,5,<5,<5,15.75,7,<5,5
2018,4,Manhattan,NA,NA,<5,NA,NA,NA,NA,NA,NA,NA
2018,5,Manhattan,<5,39.55,38,9,<5,<5,14.25,<5,<5,<5
2018,6,Manhattan,10,50.15428571,56,12,<5,<5,14.25,<5,5,<5
2018,7,Manhattan,23,28.98347826,113,15,<5,<5,14.25,<5,<5,<5
2018,8,Manhattan/Bronx,83,26.62347826,671,128,19,17,16.15,48,23,8
2018,9,Manhattan,46,28.79575,357,70,18,16,14.63,34,7,6
2018,10,Manhattan,8,24.15,48,14,6,5,14.25,<5,NA,<5
2018,11,Bronx,NA,NA,27,<5,NA,NA,NA,<5,<5,NA
2018,12,Bronx,10,36.885,144,22,<5,<5,14.25,10,<5,<5
2018,13,Bronx,7,30.14333333,44,11,<5,<5,14.25,5,<5,NA
2018,14,Bronx,7,37.00833333,62,<5,NA,NA,NA,NA,<5,<5
2018,15,Bronx,<5,15.5125,128,10,<5,<5,14.63,<5,<5,<5
2018,16,Bronx,25,33.65571429,231,41,7,6,14.25,8,12,<5
2018,17,Bronx,26,31.5075,192,37,7,6,14.25,11,7,<5
2018,18,Bronx,31,22.25538462,234,61,11,9,14.25,26,11,<5
2018,19,Queens,<5,31.0375,<5,<5,<5,<5,14.25,NA,NA,NA
2018,20,Queens,<5,29.77,9,<5,NA,NA,NA,NA,NA,NA
2018,21,Queens,22,37.21772727,<5,NA,NA,NA,NA,<5,NA,NA
2018,22,Queens,20,25.9435,27,16,<5,<5,14.25,<5,NA,NA
2018,23,Queens,NA,NA,<5,NA,NA,NA,NA,<5,NA,NA
2018,24,Queens,16,30.39375,68,13,<5,<5,14.25,9,NA,NA
2018,25,Queens,8,34.71875,<5,NA,NA,NA,NA,NA,NA,NA
2018,26,Queens,22,28.31727273,142,55,7,5,14.25,7,<5,<5
2018,27,Queens,8,33.94714286,24,NA,NA,NA,NA,<5,<5,NA
2018,28,Queens,9,26.96666667,83,12,<5,<5,14.25,9,<5,NA
2018,29,Queens,<5,36,NA,NA,NA,NA,NA,NA,NA,NA
2018,30,Queens,14,39.15714286,<5,NA,NA,NA,NA,<5,NA,NA
2018,31,Queens,51,25.8666,129,23,8,6,14.38,11,<5,<5
2018,32,Queens,8,33.39285714,29,NA,NA,NA,NA,7,<5,NA
2018,33,Brooklyn,23,33.159,131,24,5,<5,14.63,7,5,<5
2018,34,Brooklyn/Queens,27,25.53,122,39,6,5,14.25,12,7,<5
2018,35,Brooklyn,55,26.68923077,240,82,18,18,14.25,16,13,<5
2018,36,Brooklyn,52,22.6942,338,134,27,22,14.25,32,10,<5
2018,37,Brooklyn,10,29.437,78,19,<5,<5,14.25,20,NA,<5
2018,38,Brooklyn,17,25.04125,79,31,5,5,14.25,8,<5,<5
2018,39,Brooklyn,<5,39.16,<5,NA,NA,NA,NA,NA,NA,NA
2018,40,Brooklyn,<5,38.325,24,NA,NA,NA,NA,8,NA,NA
2018,41,Brooklyn,89,23.20571429,407,155,34,29,14.25,57,20,<5
2018,42,Brooklyn,40,20.16128205,365,118,23,18,14.8,41,7,6
2018,43,Brooklyn,<5,42.18,<5,NA,NA,NA,NA,<5,NA,NA
2018,44,Brooklyn,<5,48.3875,<5,NA,NA,NA,NA,NA,NA,NA
2018,45,Brooklyn,8,18.60625,50,15,5,<5,14.25,10,<5,<5
2018,46,Brooklyn,21,31.69857143,134,45,8,5,14.25,17,5,<5
